,CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,PlanDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,PlanDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,PlanDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,PlanDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,PlanDist_9,CounterExamples_10,Specificity_10,PRev_10,Pos_10,VarDist_10,RuleDist_10,PlanDist_10,CounterExamples_11,Specificity_11,PRev_11,Pos_11,VarDist_11,RuleDist_11,PlanDist_11,CounterExamples_12,Specificity_12,PRev_12,Pos_12,VarDist_12,RuleDist_12,PlanDist_12,CounterExamples_13,Specificity_13,PRev_13,Pos_13,VarDist_13,RuleDist_13,PlanDist_13,CounterExamples_14,Specificity_14,PRev_14,Pos_14,VarDist_14,RuleDist_14,PlanDist_14,CounterExamples_15,Specificity_15,PRev_15,Pos_15,VarDist_15,RuleDist_15,PlanDist_15,CounterExamples_16,Specificity_16,PRev_16,Pos_16,VarDist_16,RuleDist_16,PlanDist_16,CounterExamples_17,Specificity_17,PRev_17,Pos_17,VarDist_17,RuleDist_17,PlanDist_17,CounterExamples_18,Specificity_18,PRev_18,Pos_18,VarDist_18,RuleDist_18,PlanDist_18,CounterExamples_19,Specificity_19,PRev_19,Pos_19,VarDist_19,RuleDist_19,PlanDist_19,CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,PlanDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,PlanDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,PlanDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,PlanDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,PlanDist_9,CounterExamples_10,Specificity_10,PRev_10,Pos_10,VarDist_10,RuleDist_10,PlanDist_10,CounterExamples_11,Specificity_11,PRev_11,Pos_11,VarDist_11,RuleDist_11,PlanDist_11,CounterExamples_12,Specificity_12,PRev_12,Pos_12,VarDist_12,RuleDist_12,PlanDist_12,CounterExamples_13,Specificity_13,PRev_13,Pos_13,VarDist_13,RuleDist_13,PlanDist_13,CounterExamples_14,Specificity_14,PRev_14,Pos_14,VarDist_14,RuleDist_14,PlanDist_14,CounterExamples_15,Specificity_15,PRev_15,Pos_15,VarDist_15,RuleDist_15,PlanDist_15,CounterExamples_16,Specificity_16,PRev_16,Pos_16,VarDist_16,RuleDist_16,PlanDist_16,CounterExamples_17,Specificity_17,PRev_17,Pos_17,VarDist_17,RuleDist_17,PlanDist_17,CounterExamples_18,Specificity_18,PRev_18,Pos_18,VarDist_18,RuleDist_18,PlanDist_18,CounterExamples_19,Specificity_19,PRev_19,Pos_19,VarDist_19,RuleDist_19,PlanDist_19
0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
2,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,0,-nan(ind),-1,0,-1.0,100.0,-1,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0
3,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,41,-1,0,-1.0,75.4286,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,1,45,-1,0,-1.0,76.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,45,-1,0,-1.0,88.1429,-1,0,-nan(ind),-1,0,-1.0,100.0,-1,1,43,-1,0,-1.0,87.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,1,43,-1,0,-1.0,87.7143,-1.0,1,39,-1,0,-1.0,87.4286,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,41,-1,0,-1.0,75.4286,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,45,-1,0,-1.0,76.0,-1,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,43,-1,0,-1.0,87.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0
4,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,41,-1,0,-1.0,75.4286,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,1,45,-1,0,-1.0,76.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,1,41,-1,0,-1.0,87.8571,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,45,-1,0,-1.0,88.1429,-1,0,-nan(ind),-1,0,-1.0,100.0,-1,1,43,-1,0,-1.0,87.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,43,-1,0,-1.0,87.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,1,43,-1,0,-1.0,87.7143,-1.0,1,39,-1,0,-1.0,87.4286,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,43,-1,0,-1.0,88.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,43,-1,0,-1.0,87.7143,-1.0,1,41,-1,0,-1.0,75.4286,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,44,-1,0,-1.0,63.7143,-1,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,43,-1,0,-1.0,88.0,-1.0,1,43,-1,0,-1.0,87.7143,-1.0,1,43,-1,0,-1.0,88.0,-1.0
5,0,-nan(ind),-1,0,1.0,100.0,1.0,1,43,-1,0,1.0,87.7143,1.0,1,41,-1,0,1.0,75.4286,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,0,-nan(ind),-1,0,1.0,100.0,1,2,45,-1,0,1.0,52.0,1.0,0,-nan(ind),-1,0,1.0,100.0,1,2,42,-1,0,1.0,75.5714,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,1,45,-1,0,1.0,88.1429,1,0,-nan(ind),-1,0,1.0,100.0,1,1,43,-1,0,1.0,87.7143,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,2,17,-1,0,0.9925,86.5714,1.0,0,-nan(ind),-1,0,1.0,100.0,1,1,43,-1,0,1.0,87.7143,1.0,1,39,-1,0,1.0,87.4286,1.0,1,43,-1,0,1.0,75.7143,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,1,43,-1,0,1.0,88.0,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,2,11,-1,0,1.0,86.0,1.0,1,41,-1,0,1.0,75.4286,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,1,45,-1,0,1.0,87.8571,1,0,-nan(ind),-1,0,1.0,100.0,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,2,44,-1,0,1.0,63.7143,1,1,43,-1,0,1.0,88.0,1.0,1,43,-1,0,1.0,88.0,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,1,43,-1,0,1.0,75.7143,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,2,43,-1,0,1.0,63.4286,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,2,44,-1,0,1.0,64.0,1.0,2,43,-1,0,1.0,75.4286,1.0,2,11,-1,0,0.9925,86.4286,1.0
6,1,47,-1,0,-1.0,76.2857,-1.0,1,43,-1,0,-1.0,87.7143,-1.0,2,40,-1,0,-1.0,50.5714,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,2,45,-1,0,-1.0,52.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,3,42.3333,-1,0,-1.0,63.2857,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,19,-1,0,-1.0,87.4286,-1,0,-nan(ind),-1,0,-1.0,100.0,-1,1,43,-1,0,-1.0,87.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,17,-1,0,-1.0,86.5714,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,1,43,-1,0,-1.0,87.7143,-1.0,1,39,-1,0,-1.0,87.4286,-1.0,2,42,-1,0,-1.0,63.2857,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,43,-1,0,-1.0,88.0,-1.0,1,47,-1,0,-1.0,88.0,-1.0,2,11,-1,0,-1.0,86.0,-1.0,2,41,-1,0,-1.0,63.0,-1.0,1,43,-1,0,-1.0,87.7143,-1.0,2,45,-1,0,-1.0,63.8571,-1,1,45,-1,0,-1.0,76.0,-1.0,1,41,-1,0,-1.0,87.5714,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,44,-1,0,-1.0,63.7143,-1,1,43,-1,0,-1.0,88.0,-1.0,2,10,-1,0,-1.0,86.4286,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,43,-1,0,-1.0,63.4286,-1.0,1,41,-1,0,-1.0,87.8571,-1.0,3,24.5,-1,0,-1.0,60.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,3,43.6667,-1,0,-1.0,51.7143,-1.0,2,43,-1,0,-1.0,75.4286,-1.0,3,29,-1,0,-1.0,62.7143,-1.0
7,2,46,-1,0,-1.0,64.4286,-1.0,2,6,-1,0,-1.0,85.7143,-1.0,2,40,-1,0,-1.0,50.5714,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,2,45,-1,0,-1.0,52.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,3,42.3333,-1,0,-1.0,63.2857,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,3,34,-1,0,-1.0,75.5714,-1,1,43,-1,0,-1.0,88.0,-1,1,43,-1,0,-1.0,87.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,17,-1,0,-1.0,86.5714,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,2,4,-1,0,-1.0,85.7143,-1.0,1,39,-1,0,-1.0,87.4286,-1.0,2,42,-1,0,-1.0,63.2857,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,1,43,-1,0,-1.0,88.0,-1.0,1,47,-1,0,-1.0,88.0,-1.0,2,11,-1,0,-1.0,86.0,-1.0,2,41,-1,0,-1.0,63.0,-1.0,1,43,-1,0,-1.0,87.7143,-1.0,2,45,-1,0,-1.0,63.8571,-1,2,44,-1,0,-1.0,63.7143,-1.0,2,4,-1,0,-1.0,85.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,44,-1,0,-1.0,63.7143,-1,2,14,-1,0,-1.0,86.5714,-1.0,2,10,-1,0,-1.0,86.4286,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,43,-1,0,-1.0,63.4286,-1.0,2,13,-1,0,-1.0,86.7143,-1.0,3,24.5,-1,0,-1.0,60.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,4,35,-1,0,-1.0,50.7143,-1.0,2,43,-1,0,-1.0,75.4286,-1.0,4,34.3333,-1,0,-1.0,50.5714,-1.0
8,3,46.3333,-1,0,-1.0,52.4286,-1.0,2,6,-1,0,-1.0,85.7143,-1.0,2,40,-1,0,-1.0,50.5714,-1.0,2,42,-1,0,-1.0,63.2857,-1.0,1,45,-1,0,-1.0,87.8571,-1,2,45,-1,0,-1.0,52.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,3,42.3333,-1,0,-1.0,63.2857,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,4,26,-1,0,-1.0,75.4286,-1,2,14,-1,0,-1.0,86.5714,-1,2,4,-1,0,-1.0,85.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,17,-1,0,-1.0,86.5714,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,2,4,-1,0,-1.0,85.7143,-1.0,1,39,-1,0,-1.0,87.4286,-1.0,3,41.6667,-1,0,-1.0,51.1429,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,2,14,-1,0,-1.0,86.5714,-1.0,2,22,-1,0,-1.0,87.2857,-1.0,2,11,-1,0,-1.0,86.0,-1.0,3,41,-1,0,-1.0,38.4286,-1.0,1,43,-1,0,-1.0,87.7143,-1.0,3,25,-1,0,-1.0,61.8571,-1,2,44,-1,0,-1.0,63.7143,-1.0,3,22.5,-1,0,-1.0,61.1429,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,39,-1,0,-1.0,87.7143,-1.0,2,44,-1,0,-1.0,63.7143,-1,2,14,-1,0,-1.0,86.5714,-1.0,3,9,-1,0,-1.0,86.2857,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,43,-1,0,-1.0,63.4286,-1.0,2,13,-1,0,-1.0,86.7143,-1.0,4,14,-1,0,-1.0,59.2857,-1.0,1,39,-1,0,-1.0,87.4286,-1.0,4,35,-1,0,-1.0,50.7143,-1.0,2,43,-1,0,-1.0,75.4286,-1.0,5,21.3333,-1,0,-1.0,48.4286,-1.0
9,4,46.5,-1,0,-1.0,51.8571,-1.0,3,24.5,-1,0,-1.0,73.7143,-1.0,2,40,-1,0,-1.0,50.5714,-1.0,3,33,-1,0,-1.0,62.1429,-1.0,2,16,-1,0,-1.0,86.5714,-1,2,45,-1,0,-1.0,52.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,4,30,-1,0,-1.0,61.5714,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,5,33.6667,-1,0,-1.0,63.5714,-1,3,30.5,-1,0,-1.0,74.5714,-1,2,4,-1,0,-1.0,85.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,17,-1,0,-1.0,86.5714,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,2,4,-1,0,-1.0,85.7143,-1.0,1,39,-1,0,-1.0,87.4286,-1.0,3,41.6667,-1,0,-1.0,51.1429,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,2,14,-1,0,-1.0,86.5714,-1.0,2,22,-1,0,-1.0,87.2857,-1.0,3,27,-1,0,-1.0,61.7143,-1.0,3,41,-1,0,-1.0,38.4286,-1.0,1,43,-1,0,-1.0,87.7143,-1.0,3,25,-1,0,-1.0,61.8571,-1,2,44,-1,0,-1.0,63.7143,-1.0,3,22.5,-1,0,-1.0,61.1429,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,39,-1,0,-1.0,87.7143,-1.0,2,44,-1,0,-1.0,63.7143,-1,2,14,-1,0,-1.0,86.5714,-1.0,3,9,-1,0,-1.0,86.2857,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,3,43,-1,0,-1.0,51.1429,-1.0,3,29,-1,0,-1.0,74.5714,-1.0,4,14,-1,0,-1.0,59.2857,-1.0,1,39,-1,0,-1.0,87.4286,-1.0,5,37,-1,0,-1.0,50.0,-1.0,2,43,-1,0,-1.0,75.4286,-1.0,6,20.6667,-1,0,-1.0,48.4286,-1.0
