,CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,PlanDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,PlanDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,PlanDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,PlanDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,PlanDist_9,CounterExamples_10,Specificity_10,PRev_10,Pos_10,VarDist_10,RuleDist_10,PlanDist_10,CounterExamples_11,Specificity_11,PRev_11,Pos_11,VarDist_11,RuleDist_11,PlanDist_11,CounterExamples_12,Specificity_12,PRev_12,Pos_12,VarDist_12,RuleDist_12,PlanDist_12,CounterExamples_13,Specificity_13,PRev_13,Pos_13,VarDist_13,RuleDist_13,PlanDist_13,CounterExamples_14,Specificity_14,PRev_14,Pos_14,VarDist_14,RuleDist_14,PlanDist_14,CounterExamples_15,Specificity_15,PRev_15,Pos_15,VarDist_15,RuleDist_15,PlanDist_15,CounterExamples_16,Specificity_16,PRev_16,Pos_16,VarDist_16,RuleDist_16,PlanDist_16,CounterExamples_17,Specificity_17,PRev_17,Pos_17,VarDist_17,RuleDist_17,PlanDist_17,CounterExamples_18,Specificity_18,PRev_18,Pos_18,VarDist_18,RuleDist_18,PlanDist_18,CounterExamples_19,Specificity_19,PRev_19,Pos_19,VarDist_19,RuleDist_19,PlanDist_19,CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,PlanDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,PlanDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,PlanDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,PlanDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,PlanDist_9,CounterExamples_10,Specificity_10,PRev_10,Pos_10,VarDist_10,RuleDist_10,PlanDist_10,CounterExamples_11,Specificity_11,PRev_11,Pos_11,VarDist_11,RuleDist_11,PlanDist_11,CounterExamples_12,Specificity_12,PRev_12,Pos_12,VarDist_12,RuleDist_12,PlanDist_12,CounterExamples_13,Specificity_13,PRev_13,Pos_13,VarDist_13,RuleDist_13,PlanDist_13,CounterExamples_14,Specificity_14,PRev_14,Pos_14,VarDist_14,RuleDist_14,PlanDist_14,CounterExamples_15,Specificity_15,PRev_15,Pos_15,VarDist_15,RuleDist_15,PlanDist_15,CounterExamples_16,Specificity_16,PRev_16,Pos_16,VarDist_16,RuleDist_16,PlanDist_16,CounterExamples_17,Specificity_17,PRev_17,Pos_17,VarDist_17,RuleDist_17,PlanDist_17,CounterExamples_18,Specificity_18,PRev_18,Pos_18,VarDist_18,RuleDist_18,PlanDist_18,CounterExamples_19,Specificity_19,PRev_19,Pos_19,VarDist_19,RuleDist_19,PlanDist_19
0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
2,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0
3,1,47,-1,0,-1.0,88.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,45,-1,0,-1.0,87.8571,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,43,-1,0,-1.0,75.7143,-1,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,43,-1,0,-1.0,87.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,43,-1,0,-1.0,88.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,47,-1,0,-1.0,76.2857,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,45,-1,0,-1.0,87.8571,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,41,-1,0,-1.0,87.8571,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,45,-1,0,-1.0,87.8571,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,1,43,-1,0,-1.0,75.7143,-1.0
4,2,5,-1,0,-1.0,85.8571,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,45,-1,0,-1.0,63.8571,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,1,41,-1,0,-1.0,87.5714,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,45,-1,0,-1.0,87.8571,-1.0,1,43,-1,0,-1.0,75.7143,-1,1,43,-1,0,-1.0,87.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,4,-1,0,-1.0,85.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,44,-1,0,-1.0,75.8571,-1.0,1,43,-1,0,-1.0,87.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,47,-1,0,-1.0,64.2857,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,43,-1,0,-1.0,87.7143,-1.0,2,45,-1,0,-1.0,76.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,41,-1,0,-1.0,87.8571,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,45,-1,0,-1.0,87.8571,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,1,43,-1,0,-1.0,88.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,42,-1,0,-1.0,63.5714,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,42,-1,0,-1.0,63.5714,-1.0,2,43,-1,0,-1.0,63.4286,-1.0,1,43,-1,0,-1.0,75.7143,-1.0
5,3,26,-1,0,0.94,62.1429,1.0,1,43,-1,0,1.0,88.0,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,3,25.5,-1,0,0.905,61.7143,1.0,0,-nan(ind),-1,0,1.0,100.0,1,1,41,-1,0,1.0,87.5714,1.0,1,41,-1,0,1.0,87.5714,1.0,1,39,-1,0,1.0,87.7143,1.0,1,45,-1,0,1.0,87.8571,1.0,1,43,-1,0,1.0,75.7143,1,2,43,-1,0,1.0,75.7143,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,3,23.5,-1,0,0.92,61.4286,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,1,43,-1,0,1.0,87.7143,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,3,30,-1,0,1.0,74.7143,1.0,1,43,-1,0,1.0,87.7143,1.0,1,43,-1,0,1.0,87.7143,1.0,3,38,-1,0,1.0,63.4286,1.0,2,43,-1,0,1.0,63.7143,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,1,43,-1,0,1.0,87.7143,1.0,3,45.6667,-1,0,1.0,52.2857,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,1,41,-1,0,1.0,87.8571,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,1,45,-1,0,1.0,87.8571,1.0,1,43,-1,0,1.0,75.7143,1.0,2,44,-1,0,1.0,75.8571,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,1,43,-1,0,1.0,75.7143,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,2,42,-1,0,1.0,63.5714,1.0,0,-nan(ind),-1,0,1.0,100.0,1.0,3,42.3333,-1,0,1.0,39.2857,1.0,2,43,-1,0,1.0,63.4286,1.0,2,42,-1,0,1.0,63.2857,1.0
6,3,26,-1,0,-1.0,62.1429,-1.0,1,43,-1,0,-1.0,88.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,3,25.5,-1,0,-1.0,61.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1,1,41,-1,0,-1.0,87.5714,-1.0,2,41,-1,0,-1.0,75.4286,-1.0,1,39,-1,0,-1.0,87.7143,-1.0,1,45,-1,0,-1.0,87.8571,-1.0,1,43,-1,0,-1.0,75.7143,-1,3,43.6667,-1,0,-1.0,51.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,3,23.5,-1,0,-1.0,61.4286,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,43,-1,0,-1.0,75.4286,-1.0,1,39,-1,0,-1.0,87.7143,-1.0,4,19,-1,0,-1.0,73.7143,-1.0,1,43,-1,0,-1.0,87.7143,-1.0,2,43,-1,0,-1.0,75.7143,-1.0,3,38,-1,0,-1.0,63.4286,-1.0,2,43,-1,0,-1.0,63.7143,-1.0,1,41,-1,0,-1.0,87.8571,-1.0,1,43,-1,0,-1.0,87.7143,-1.0,4,45.5,-1,0,-1.0,40.1429,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,41,-1,0,-1.0,87.8571,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,45,-1,0,-1.0,63.8571,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,2,44,-1,0,-1.0,75.8571,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,1,41,-1,0,-1.0,75.4286,-1.0,3,29,-1,0,-1.0,61.5714,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,3,42.3333,-1,0,-1.0,39.2857,-1.0,3,43,-1,0,-1.0,51.4286,-1.0,2,42,-1,0,-1.0,63.2857,-1.0
7,4,9,-1,0,-1.0,59.0,-1.0,2,17,-1,0,-1.0,86.8571,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,3,25.5,-1,0,-1.0,61.7143,-1.0,1,45,-1,0,-1.0,87.8571,-1,1,41,-1,0,-1.0,87.5714,-1.0,2,41,-1,0,-1.0,75.4286,-1.0,1,39,-1,0,-1.0,87.7143,-1.0,2,45,-1,0,-1.0,75.7143,-1.0,1,43,-1,0,-1.0,75.7143,-1,3,43.6667,-1,0,-1.0,51.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,4,6,-1,0,-1.0,57.7143,-1.0,1,41,-1,0,-1.0,75.4286,-1.0,2,43,-1,0,-1.0,75.4286,-1.0,1,39,-1,0,-1.0,87.7143,-1.0,4,19,-1,0,-1.0,73.7143,-1.0,1,43,-1,0,-1.0,87.7143,-1.0,3,31,-1,0,-1.0,74.8571,-1.0,3,38,-1,0,-1.0,63.4286,-1.0,2,43,-1,0,-1.0,63.7143,-1.0,1,41,-1,0,-1.0,87.8571,-1.0,1,43,-1,0,-1.0,87.7143,-1.0,5,45.4,-1,0,-1.0,16.1429,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,42,-1,0,-1.0,75.5714,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,45,-1,0,-1.0,63.8571,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,3,44.3333,-1,0,-1.0,63.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,2,41,-1,0,-1.0,63.0,-1.0,3,29,-1,0,-1.0,61.5714,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,4,42.5,-1,0,-1.0,27.0,-1.0,3,43,-1,0,-1.0,51.4286,-1.0,2,42,-1,0,-1.0,63.2857,-1.0
8,5,20.3333,-1,0,-1.0,34.7143,-1.0,2,17,-1,0,-1.0,86.8571,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,4,31.3333,-1,0,-1.0,49.7143,-1.0,2,4,-1,0,-1.0,85.7143,-1,1,41,-1,0,-1.0,87.5714,-1.0,2,41,-1,0,-1.0,75.4286,-1.0,1,39,-1,0,-1.0,87.7143,-1.0,3,45,-1,0,-1.0,51.7143,-1.0,1,43,-1,0,-1.0,75.7143,-1,4,31.6667,-1,0,-1.0,48.5714,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,5,4.5,-1,0,-1.0,57.7143,-1.0,1,41,-1,0,-1.0,75.4286,-1.0,2,43,-1,0,-1.0,75.4286,-1.0,1,39,-1,0,-1.0,87.7143,-1.0,5,28.3333,-1,0,-1.0,61.7143,-1.0,1,43,-1,0,-1.0,87.7143,-1.0,3,31,-1,0,-1.0,74.8571,-1.0,4,26.5,-1,0,-1.0,62.7143,-1.0,3,43.6667,-1,0,-1.0,51.5714,-1.0,1,41,-1,0,-1.0,87.8571,-1.0,1,43,-1,0,-1.0,87.7143,-1.0,6,39.4,-1,0,-1.0,14.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,42,-1,0,-1.0,75.5714,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,45,-1,0,-1.0,63.8571,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,3,44.3333,-1,0,-1.0,63.7143,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,2,41,-1,0,-1.0,63.0,-1.0,3,29,-1,0,-1.0,61.5714,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,4,42.5,-1,0,-1.0,27.0,-1.0,3,43,-1,0,-1.0,51.4286,-1.0,2,42,-1,0,-1.0,63.2857,-1.0
9,6,26,-1,0,-1.0,22.7143,-1.0,2,17,-1,0,-1.0,86.8571,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,4,31.3333,-1,0,-1.0,49.7143,-1.0,2,4,-1,0,-1.0,85.7143,-1,2,41,-1,0,-1.0,63.0,-1.0,2,41,-1,0,-1.0,75.4286,-1.0,1,39,-1,0,-1.0,87.7143,-1.0,4,31.3333,-1,0,-1.0,49.5714,-1.0,2,9,-1,0,-1.0,72.5714,-1,4,31.6667,-1,0,-1.0,48.5714,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,5,4.5,-1,0,-1.0,57.7143,-1.0,1,41,-1,0,-1.0,75.4286,-1.0,3,43,-1,0,-1.0,63.4286,-1.0,1,39,-1,0,-1.0,87.7143,-1.0,6,24,-1,0,-1.0,61.5714,-1.0,1,43,-1,0,-1.0,87.7143,-1.0,4,36.3333,-1,0,-1.0,51.1429,-1.0,4,26.5,-1,0,-1.0,62.7143,-1.0,3,43.6667,-1,0,-1.0,51.5714,-1.0,1,41,-1,0,-1.0,87.8571,-1.0,2,43,-1,0,-1.0,63.4286,-1.0,7,33.8,-1,0,-1.0,13.2857,-1.0,1,45,-1,0,-1.0,87.8571,-1.0,2,42,-1,0,-1.0,75.5714,-1.0,1,41,-1,0,-1.0,87.5714,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,2,45,-1,0,-1.0,63.8571,-1.0,2,8,-1,0,-1.0,72.0,-1.0,4,40.6667,-1,0,-1.0,63.4286,-1.0,0,-nan(ind),-1,0,-1.0,100.0,-1.0,1,43,-1,0,-1.0,75.7143,-1.0,2,41,-1,0,-1.0,63.0,-1.0,3,29,-1,0,-1.0,61.5714,-1.0,1,39,-1,0,-1.0,87.4286,-1.0,4,42.5,-1,0,-1.0,27.0,-1.0,3,43,-1,0,-1.0,51.4286,-1.0,2,42,-1,0,-1.0,63.2857,-1.0
