,CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,PlanDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,PlanDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,PlanDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,PlanDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,PlanDist_9,CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,PlanDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,PlanDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,PlanDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,PlanDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,PlanDist_9,CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,PlanDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,PlanDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,PlanDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,PlanDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,PlanDist_9
0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0
1,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0
2,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0
3,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,43,-1.0,1,-1.0,88.0,-1.0,1,41,-1.0,1,-1.0,75.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,43,-1.0,1,-1.0,87.7143,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,45,-1.0,1,-1.0,87.8571,-1.0,1,41,-1.0,1,-1.0,75.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,45,-1.0,1,-1.0,76.0,-1.0,1,47,-1.0,1,-1.0,76.2857,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,45,-1.0,1,-1.0,87.8571,-1.0,1,41,-1.0,1,-1.0,87.8571,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,39,-1.0,1,-1.0,87.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0
4,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,43,-1.0,0,-1.0,88.0,-1.0,1,41,-1.0,0,-1.0,75.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,45,-1.0,1,-1.0,87.8571,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,47,-1.0,1,-1.0,76.2857,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,43,-1.0,0,-1.0,87.7143,-1.0,1,45,-1.0,1,-1.0,87.8571,-1.0,2,45,-1.0,1,-1.0,63.8571,-1.0,1,41,-1.0,0,-1.0,75.4286,-1.0,1,41,-1.0,1,-1.0,87.5714,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,2,11,0.48045,1,-1.0,72.8571,-1.0,2,46,-1.0,1,-1.0,64.1429,-1.0,1,43,-1.0,1,-1.0,87.7143,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,2,45,-1.0,1,-1.0,76.0,-1.0,1,41,-1.0,0,-1.0,87.8571,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,39,-1.0,0,-1.0,87.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0
5,1,47,-1.0,1,1.0,76.2857,1.0,2,44,-1.0,1,1.0,64.0,1.0,1,41,-1.0,0,1.0,75.4286,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0,2,45,-1.0,1,1.0,63.8571,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0,1,47,-1.0,0,1.0,76.2857,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0,1,41,-1.0,1,1.0,75.4286,1.0,1,43,-1.0,0,1.0,87.7143,1.0,2,6,0.702745,1,0.94,85.7143,1.0,2,45,-1.0,0,0.9975,63.8571,1.0,1,41,-1.0,0,1.0,75.4286,1.0,1,41,-1.0,0,1.0,87.5714,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0,2,11,-1.0,0,0.9775,72.8571,1.0,2,46,-1.0,0,1.0,64.1429,1.0,1,43,-1.0,0,1.0,87.7143,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0,1,43,-1.0,1,1.0,87.7143,1.0,1,45,-1.0,1,0.9975,87.8571,1.0,2,45,-1.0,0,0.9975,76.0,1.0,2,42,-1.0,1,1.0,75.5714,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0,1,39,-1.0,0,1.0,87.4286,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0
6,2,46,-1.0,1,-1.0,64.1429,-1.0,2,44,-1.0,0,-1.0,64.0,-1.0,2,40,-1.0,1,-1.0,63.1429,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,45,-1.0,1,-1.0,76.0,-1.0,3,33,-1.0,1,-1.0,63.1429,-1.0,1,41,-1.0,1,-1.0,87.5714,-1.0,1,41,-1.0,1,-1.0,87.8571,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,45,-1.0,1,-1.0,87.8571,-1.0,2,25,-1.0,1,-1.0,75.1429,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,41,-1.0,0,-1.0,75.4286,-1.0,1,43,-1.0,0,-1.0,87.7143,-1.0,3,25.5,-1.0,1,-1.0,61.7143,-1.0,3,44.3333,-1.0,1,-1.0,39.5714,-1.0,1,41,-1.0,0,-1.0,75.4286,-1.0,2,41,-1.0,1,-1.0,75.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,3,28,-1.0,1,-1.0,60.7143,-1.0,3,34.5,0.731162,1,-1.0,63.1429,-1.0,1,43,-1.0,0,-1.0,87.7143,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,43,-1.0,0,-1.0,87.7143,-1.0,2,45,-1.0,1,-1.0,63.8571,-1.0,3,24.5,-1.0,1,-1.0,73.8571,-1.0,3,42.3333,-1.0,1,-1.0,51.2857,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,39,-1.0,0,-1.0,87.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0
7,2,46,-1.0,0,-1.0,64.1429,-1.0,3,43.6667,-1.0,1,-1.0,39.7143,-1.0,3,40.3333,-1.0,1,-1.0,38.5714,-1.0,1,43,-1.0,1,-1.0,87.7143,-1.0,1,45,-1.0,0,-1.0,76.0,-1.0,4,37,-1.0,1,-1.0,51.0,-1.0,1,41,-1.0,0,-1.0,87.5714,-1.0,2,42,-1.0,1,-1.0,75.5714,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,2,45,-1.0,1,-1.0,63.8571,-1.0,2,25,-1.0,0,-1.0,75.1429,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,41,-1.0,0,-1.0,75.4286,-1.0,2,43,-1.0,1,-1.0,63.4286,-1.0,3,25.5,-1.0,0,-1.0,61.7143,-1.0,3,44.3333,-1.0,0,-1.0,39.5714,-1.0,2,41,-1.0,1,-1.0,63.0,-1.0,2,41,-1.0,0,-1.0,75.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,4,33.6667,-1.0,1,-1.0,48.5714,-1.0,4,38,-1.0,1,-1.0,62.4286,-1.0,2,43,-1.0,1,-1.0,63.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,2,36,0.520675,1,-1.0,87.5714,-1.0,3,25,0.597858,1,-1.0,61.8571,-1.0,3,24.5,-1.0,0,-1.0,73.8571,-1.0,3,42.3333,-1.0,0,-1.0,51.2857,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,39,-1.0,0,-1.0,87.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0
8,3,27,0.731162,1,-1.0,62.1429,-1.0,4,32.6667,-1.0,1,-1.0,37.1429,-1.0,3,40.3333,-1.0,0,-1.0,38.5714,-1.0,1,43,-1.0,0,-1.0,87.7143,-1.0,1,45,-1.0,0,-1.0,76.0,-1.0,5,31.3333,0.812638,1,-1.0,49.5714,-1.0,1,41,-1.0,0,-1.0,87.5714,-1.0,3,42.3333,-1.0,1,-1.0,51.2857,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,3,44.3333,-1.0,1,-1.0,51.5714,-1.0,3,8,0.51825,1,-1.0,72.5714,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,41,-1.0,0,-1.0,75.4286,-1.0,2,43,-1.0,0,-1.0,63.4286,-1.0,3,25.5,0.8771610000000001,0,-1.0,61.7143,-1.0,3,44.3333,-1.0,0,-1.0,39.5714,-1.0,2,41,-1.0,0,-1.0,63.0,-1.0,3,41.6667,-1.0,1,-1.0,51.1429,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,4,33.6667,-1.0,0,-1.0,48.5714,-1.0,4,38,-1.0,0,-1.0,62.4286,-1.0,3,24.5,-1.0,1,-1.0,61.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,2,36,-1.0,0,-1.0,87.5714,-1.0,3,25,-1.0,0,-1.0,61.8571,-1.0,3,24.5,0.8614799999999999,0,-1.0,73.8571,-1.0,4,34.3333,0.662443,1,-1.0,50.2857,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,39,-1.0,0,-1.0,87.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0
9,3,27,-1.0,0,-1.0,62.1429,-1.0,4,32.6667,-1.0,0,-1.0,37.1429,-1.0,4,37.6667,0.46308599999999994,1,-1.0,38.4286,-1.0,2,43,-1.0,1,-1.0,63.4286,-1.0,1,45,-1.0,0,-1.0,76.0,-1.0,5,31.3333,0.5489609999999999,0,-1.0,49.5714,-1.0,1,41,-1.0,0,-1.0,87.5714,-1.0,3,42.3333,-1.0,0,-1.0,51.2857,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,3,44.3333,0.579354,0,-1.0,51.5714,-1.0,3,8,-1.0,0,-1.0,72.5714,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,41,-1.0,0,-1.0,75.4286,-1.0,3,42.3333,-1.0,1,-1.0,38.8571,-1.0,3,25.5,-1.0,0,-1.0,61.7143,-1.0,4,33,0.6823130000000001,1,-1.0,36.1429,-1.0,2,41,-1.0,0,-1.0,63.0,-1.0,3,41.6667,-1.0,0,-1.0,51.1429,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,4,33.6667,-1.0,0,-1.0,48.5714,-1.0,4,38,-1.0,0,-1.0,62.4286,-1.0,3,24.5,-1.0,0,-1.0,61.4286,-1.0,1,41,-1.0,1,-1.0,87.8571,-1.0,2,36,-1.0,0,-1.0,87.5714,-1.0,3,25,-1.0,0,-1.0,61.8571,-1.0,3,24.5,-1.0,0,-1.0,73.8571,-1.0,4,34.3333,-1.0,0,-1.0,50.2857,-1.0,1,41,-1.0,1,-1.0,87.5714,-1.0,1,39,-1.0,0,-1.0,87.4286,-1.0,1,45,-1.0,1,-1.0,76.0,-1.0
