,CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,PlanDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,PlanDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,PlanDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,PlanDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,PlanDist_9,CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,PlanDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,PlanDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,PlanDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,PlanDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,PlanDist_9,CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,PlanDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,PlanDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,PlanDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,PlanDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,PlanDist_9
0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0
1,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0
2,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0
3,1,47,-1.0,1,-1.0,88.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,41,-1.0,1,-1.0,87.8571,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,41,-1.0,1,-1.0,75.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,47,-1.0,1,-1.0,76.2857,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,45,-1.0,1,-1.0,87.8571,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,47,-1.0,1,-1.0,88.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,43,-1.0,1,-1.0,75.7143,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,45,-1.0,1,-1.0,87.8571,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,45,-1.0,1,-1.0,76.0,-1.0
4,2,23,-1.0,1,-1.0,87.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,41,-1.0,0,-1.0,87.8571,-1.0,1,43,-1.0,1,-1.0,87.7143,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,41,-1.0,0,-1.0,75.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,45,-1.0,1,-1.0,87.8571,-1.0,2,46,-1.0,1,-1.0,64.1429,-1.0,1,43,-1.0,1,-1.0,87.7143,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,45,-1.0,1,-1.0,76.0,-1.0,2,18,-1.0,1,-1.0,87.1429,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,41,-1.0,1,-1.0,87.5714,-1.0,1,39,-1.0,1,-1.0,87.4286,-1.0,1,45,-1.0,1,-1.0,87.8571,-1.0,1,47,-1.0,0,-1.0,88.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,43,-1.0,0,-1.0,75.7143,-1.0,1,45,-1.0,1,-1.0,87.8571,-1.0,1,45,-1.0,0,-1.0,87.8571,-1.0,1,41,-1.0,1,-1.0,87.5714,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,2,44,-1.0,1,-1.0,63.7143,-1.0
5,3,35,-1.0,1,1.0,75.4286,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0,2,42,-1.0,1,1.0,75.5714,1.0,1,43,-1.0,0,1.0,87.7143,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0,1,41,-1.0,0,1.0,75.4286,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0,1,45,-1.0,0,1.0,87.8571,1.0,2,46,-1.0,0,1.0,64.1429,1.0,1,43,-1.0,0,1.0,87.7143,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0,2,19,-1.0,1,1.0,74.5714,1.0,2,18,-1.0,0,0.9925,87.1429,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0,1,41,0.46579799999999993,0,1.0,87.5714,1.0,1,39,-1.0,0,1.0,87.4286,1.0,1,45,-1.0,0,1.0,87.8571,1.0,2,47,-1.0,1,1.0,64.2857,1.0,1,43,-1.0,1,1.0,87.7143,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0,2,43,-1.0,1,1.0,63.4286,1.0,1,45,-1.0,0,1.0,87.8571,1.0,2,45,-1.0,1,0.9975,76.0,1.0,1,41,-1.0,0,1.0,87.5714,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0,0,-nan(ind),-1.0,0,1.0,100.0,1.0,2,44,-1.0,0,1.0,63.7143,1.0
6,4,27.5,0.7120479999999999,1,-1.0,75.0,-1.0,1,43,-1.0,1,-1.0,87.7143,-1.0,2,42,-1.0,0,-1.0,75.5714,-1.0,1,43,-1.0,0,-1.0,87.7143,-1.0,1,45,-1.0,1,-1.0,87.8571,-1.0,1,45,-1.0,1,-1.0,87.8571,-1.0,1,41,-1.0,0,-1.0,75.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,2,45,-1.0,1,-1.0,63.8571,-1.0,3,34,0.708125,1,-1.0,62.8571,-1.0,2,43,-1.0,1,-1.0,63.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,2,19,-1.0,0,-1.0,74.5714,-1.0,3,31.5,-1.0,1,-1.0,63.1429,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,2,41,-1.0,1,-1.0,63.0,-1.0,1,39,-1.0,0,-1.0,87.4286,-1.0,1,45,-1.0,0,-1.0,87.8571,-1.0,2,47,0.541403,0,-1.0,64.2857,-1.0,2,43,-1.0,1,-1.0,63.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,2,43,-1.0,0,-1.0,63.4286,-1.0,2,45,-1.0,1,-1.0,63.8571,-1.0,2,45,-1.0,0,-1.0,76.0,-1.0,1,41,-1.0,0,-1.0,87.5714,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,2,44,-1.0,0,-1.0,63.7143,-1.0
7,5,21.5,-1.0,1,-1.0,74.4286,-1.0,2,16,-1.0,1,-1.0,87.0,-1.0,2,42,0.576801,0,-1.0,75.5714,-1.0,2,43,-1.0,1,-1.0,63.4286,-1.0,1,45,-1.0,0,-1.0,87.8571,-1.0,2,33,0.58924,1,-1.0,87.2857,-1.0,1,41,-1.0,0,-1.0,75.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,3,34,0.593988,1,-1.0,63.2857,-1.0,3,34,-1.0,0,-1.0,62.8571,-1.0,2,43,-1.0,0,-1.0,63.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,43,-1.0,1,-1.0,87.7143,-1.0,2,19,-1.0,0,-1.0,74.5714,-1.0,3,31.5,-1.0,0,-1.0,63.1429,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,2,41,-1.0,0,-1.0,63.0,-1.0,2,39,-1.0,1,-1.0,75.1429,-1.0,2,45,-1.0,1,-1.0,63.8571,-1.0,2,47,-1.0,0,-1.0,64.2857,-1.0,2,43,-1.0,0,-1.0,63.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,2,43,-1.0,0,-1.0,63.4286,-1.0,3,44.3333,-1.0,1,-1.0,51.5714,-1.0,3,45.6667,-1.0,1,-1.0,52.2857,-1.0,1,41,-1.0,0,-1.0,87.5714,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,2,44,-1.0,0,-1.0,63.7143,-1.0
8,6,30,-1.0,1,-1.0,50.7143,-1.0,2,16,-1.0,0,-1.0,87.0,-1.0,2,42,-1.0,0,-1.0,75.5714,-1.0,2,43,-1.0,0,-1.0,63.4286,-1.0,2,38,0.525439,1,-1.0,87.7143,-1.0,2,33,-1.0,0,-1.0,87.2857,-1.0,1,41,-1.0,0,-1.0,75.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,4,37.6667,-1.0,1,-1.0,39.2857,-1.0,3,34,-1.0,0,-1.0,62.8571,-1.0,2,43,-1.0,0,-1.0,63.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,1,43,-1.0,0,-1.0,87.7143,-1.0,3,30,-1.0,1,-1.0,62.1429,-1.0,3,31.5,-1.0,0,-1.0,63.1429,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,2,41,-1.0,0,-1.0,63.0,-1.0,2,39,-1.0,0,-1.0,75.1429,-1.0,2,45,-1.0,0,-1.0,63.8571,-1.0,2,47,-1.0,0,-1.0,64.2857,-1.0,2,43,-1.0,0,-1.0,63.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,3,43,-1.0,1,-1.0,39.1429,-1.0,3,44.3333,-1.0,0,-1.0,51.5714,-1.0,4,38,-1.0,1,-1.0,52.0,-1.0,1,41,-1.0,0,-1.0,87.5714,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,2,44,-1.0,0,-1.0,63.7143,-1.0
9,7,29,0.686541,1,-1.0,50.4286,-1.0,2,16,0.46508999999999995,0,-1.0,87.0,-1.0,2,42,-1.0,0,-1.0,75.5714,-1.0,2,43,-1.0,0,-1.0,63.4286,-1.0,2,38,-1.0,0,-1.0,87.7143,-1.0,3,18,-1.0,1,-1.0,87.1429,-1.0,2,10,-1.0,1,-1.0,72.5714,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,5,33,0.6641739999999999,1,-1.0,38.0,-1.0,3,34,-1.0,0,-1.0,62.8571,-1.0,2,43,-1.0,0,-1.0,63.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,2,43,-1.0,1,-1.0,75.4286,-1.0,4,18,0.7404850000000001,1,-1.0,61.0,-1.0,3,31.5,-1.0,0,-1.0,63.1429,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,3,41,-1.0,1,-1.0,50.5714,-1.0,3,39.6667,-1.0,1,-1.0,50.5714,-1.0,2,45,-1.0,0,-1.0,63.8571,-1.0,3,34,-1.0,1,-1.0,63.1429,-1.0,2,43,-1.0,0,-1.0,63.4286,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,3,43,-1.0,0,-1.0,39.1429,-1.0,3,44.3333,0.626722,0,-1.0,51.5714,-1.0,5,29.6667,-1.0,1,-1.0,51.4286,-1.0,1,41,-1.0,0,-1.0,87.5714,-1.0,1,41,-1.0,1,-1.0,87.5714,-1.0,0,-nan(ind),-1.0,0,-1.0,100.0,-1.0,2,44,-1.0,0,-1.0,63.7143,-1.0
