CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,CounterExamples_10,Specificity_10,PRev_10,Pos_10,VarDist_10,RuleDist_10,CounterExamples_11,Specificity_11,PRev_11,Pos_11,VarDist_11,RuleDist_11,CounterExamples_12,Specificity_12,PRev_12,Pos_12,VarDist_12,RuleDist_12,CounterExamples_13,Specificity_13,PRev_13,Pos_13,VarDist_13,RuleDist_13,CounterExamples_14,Specificity_14,PRev_14,Pos_14,VarDist_14,RuleDist_14,CounterExamples_15,Specificity_15,PRev_15,Pos_15,VarDist_15,RuleDist_15,CounterExamples_16,Specificity_16,PRev_16,Pos_16,VarDist_16,RuleDist_16,CounterExamples_17,Specificity_17,PRev_17,Pos_17,VarDist_17,RuleDist_17,CounterExamples_18,Specificity_18,PRev_18,Pos_18,VarDist_18,RuleDist_18,CounterExamples_19,Specificity_19,PRev_19,Pos_19,VarDist_19,RuleDist_19,
0,0,0.0054712,1.02466e-31,1.96182e-44,0,0,0,2.64507e+20,2.50775e+08,3.96137e-14,4.40073e-22,0,0,1.96182e-44,0,0.00633306,1.02466e-31,0,0,1.38346e-11,7.31731e+28,239.158,7.21284e+22,0,0,2.64507e+20,59.7895,4.52653e+21,5.42668e-14,0,0,1.13365e-11,2.7498e+26,3.80701e-39,0,0,0,1.15841e+24,1.47781e-41,1.09281e+24,5.21318e+28,0,0,3.53047e-12,2.60419e+32,3.78334e-39,0,0,0,0.00641348,1.02466e-31,3.22299e-44,0,0,0,3.80237e-39,4.40086e-22,2.64507e+20,2.50775e+08,0,0,0.0064403,1.02466e-31,2.8026e-44,0,0,0,0,4.40151e-22,1.03969e+21,2.46475e+32,0,0,1.48524e-41,0,1.09281e+24,5.21318e+28,0,0,0.00648053,1.02466e-31,2.10195e-44,0,0,0,2.38221e-44,0,0.00649394,1.02466e-31,0,0,0,0,1.03969e+21,1.09471e+27,0,0,239.158,7.21284e+22,7.56394e+23,1.77487e+28,0,0,0,0,2.04752e+23,4.7425e+30,0,0,5.51636e-14,0,1.09281e+24,5.21318e+28,0,0,0,0,0,0,
0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,
1,36,-1,0,-1,93.6364,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,
2,27.5,-1,0,-1,86.1818,1,36,-1,0,-1,93.6364,1,36,-1,0,-1,93.6364,1,36,-1,0,-1,93.6364,1,36,-1,0,-1,93.6364,1,36,-1,0,-1,93.6364,1,36,-1,0,-1,93.6364,1,36,-1,0,-1,93.6364,1,36,-1,0,-1,93.6364,1,36,-1,0,-1,93.6364,1,36,-1,0,-1,93.6364,1,36,-1,0,-1,93.6364,1,36,-1,0,-1,93.6364,1,36,-1,0,-1,93.6364,1,36,-1,0,-1,93.6364,1,36,-1,0,-1,93.6364,1,36,-1,0,-1,93.6364,1,36,-1,0,-1,93.6364,1,36,-1,0,-1,93.6364,1,36,-1,0,-1,93.6364,
3,30.6667,-1,0,-1,79.9091,2,27.5,-1,0,-1,86.1818,2,27.5,-1,0,-1,86.1818,2,27.5,-1,0,-1,86.1818,2,27.5,-1,0,-1,86.1818,2,27.5,-1,0,-1,86.1818,2,27.5,-1,0,-1,86.1818,2,27.5,-1,0,-1,86.1818,2,27.5,-1,0,-1,86.1818,2,27.5,-1,0,-1,86.1818,2,27.5,-1,0,-1,86.1818,2,27.5,-1,0,-1,86.1818,2,27.5,-1,0,-1,86.1818,2,27.5,-1,0,-1,86.1818,2,27.5,-1,0,-1,86.1818,2,27.5,-1,0,-1,86.1818,2,27.5,-1,0,-1,86.1818,2,27.5,-1,0,-1,86.1818,2,27.5,-1,0,-1,86.1818,2,27.5,-1,0,-1,86.1818,
4,29.5,-1,0,-1,72.7273,3,30.6667,-1,0,-1,79.9091,3,30.6667,-1,0,-1,79.9091,3,30.6667,-1,0,-1,79.9091,3,30.6667,-1,0,-1,79.9091,3,30.6667,-1,0,-1,79.9091,3,30.6667,-1,0,-1,79.9091,3,30.6667,-1,0,-1,79.9091,3,30.6667,-1,0,-1,79.9091,3,30.6667,-1,0,-1,79.9091,3,30.6667,-1,0,-1,79.9091,3,30.6667,-1,0,-1,79.9091,3,30.6667,-1,0,-1,79.9091,3,30.6667,-1,0,-1,79.9091,3,30.6667,-1,0,-1,79.9091,3,30.6667,-1,0,-1,79.9091,3,30.6667,-1,0,-1,79.9091,3,30.6667,-1,0,-1,79.9091,3,30.6667,-1,0,-1,79.9091,3,30.6667,-1,0,-1,79.9091,
5,31.6,-1,0,-1,66.7273,4,29.5,-1,0,-1,72.7273,4,29.5,-1,0,-1,72.7273,4,29.5,-1,0,-1,72.7273,4,29.5,-1,0,-1,72.7273,4,29.5,-1,0,-1,72.7273,4,29.5,-1,0,-1,72.7273,4,29.5,-1,0,-1,72.7273,4,29.5,-1,0,-1,72.7273,4,29.5,-1,0,-1,72.7273,4,29.5,-1,0,-1,72.7273,4,29.5,-1,0,-1,72.7273,4,29.5,-1,0,-1,72.7273,4,29.5,-1,0,-1,72.7273,4,29.5,-1,0,-1,72.7273,4,29.5,-1,0,-1,72.7273,4,29.5,-1,0,-1,72.7273,4,29.5,-1,0,-1,72.7273,4,29.5,-1,0,-1,72.7273,4,29.5,-1,0,-1,72.7273,
6,33,-1,0,-1,60.7273,5,31.6,-1,0,-1,66.7273,5,31.6,-1,0,-1,66.7273,5,31.6,-1,0,-1,66.7273,5,31.6,-1,0,-1,66.7273,5,31.6,-1,0,-1,66.7273,5,31.6,-1,0,-1,66.7273,5,31.6,-1,0,-1,66.7273,5,31.6,-1,0,-1,66.7273,5,31.6,-1,0,-1,66.7273,5,31.6,-1,0,-1,66.7273,5,31.6,-1,0,-1,66.7273,5,31.6,-1,0,-1,66.7273,5,31.6,-1,0,-1,66.7273,5,31.6,-1,0,-1,66.7273,5,31.6,-1,0,-1,66.7273,5,31.6,-1,0,-1,66.7273,5,31.6,-1,0,-1,66.7273,5,31.6,-1,0,-1,66.7273,5,31.6,-1,0,-1,66.7273,
7,34.2857,-1,0,-1,54.9091,6,33,-1,0,-1,60.7273,6,33,-1,0,-1,60.7273,6,33,-1,0,-1,60.7273,6,33,-1,0,-1,60.7273,6,33,-1,0,-1,60.7273,6,33,-1,0,-1,60.7273,6,33,-1,0,-1,60.7273,6,33,-1,0,-1,60.7273,6,33,-1,0,-1,60.7273,6,33,-1,0,-1,60.7273,6,33,-1,0,-1,60.7273,6,33,-1,0,-1,60.7273,6,33,-1,0,-1,60.7273,6,33,-1,0,-1,60.7273,6,33,-1,0,-1,60.7273,6,33,-1,0,-1,60.7273,6,33,-1,0,-1,60.7273,6,33,-1,0,-1,60.7273,6,33,-1,0,-1,60.7273,
8,34.625,-1,0,-1,48.9091,7,34.2857,-1,0,-1,54.9091,7,34.2857,-1,0,-1,54.9091,7,34.2857,-1,0,-1,54.9091,7,34.2857,-1,0,-1,54.9091,7,34.2857,-1,0,-1,54.9091,7,34.2857,-1,0,-1,54.9091,7,34.2857,-1,0,-1,54.9091,7,34.2857,-1,0,-1,54.9091,7,34.2857,-1,0,-1,54.9091,7,34.2857,-1,0,-1,54.9091,7,34.2857,-1,0,-1,54.9091,7,34.2857,-1,0,-1,54.9091,7,34.2857,-1,0,-1,54.9091,7,34.2857,-1,0,-1,54.9091,7,34.2857,-1,0,-1,54.9091,7,34.2857,-1,0,-1,54.9091,7,34.2857,-1,0,-1,54.9091,7,34.2857,-1,0,-1,54.9091,7,34.2857,-1,0,-1,54.9091,
9,35.3333,-1,0,-1,43.0909,8,34.625,-1,0,-1,48.9091,8,34.625,-1,0,-1,48.9091,8,34.625,-1,0,-1,48.9091,8,34.625,-1,0,-1,48.9091,8,34.625,-1,0,-1,48.9091,8,34.625,-1,0,-1,48.9091,8,34.625,-1,0,-1,48.9091,8,34.625,-1,0,-1,48.9091,8,34.625,-1,0,-1,48.9091,8,34.625,-1,0,-1,48.9091,8,34.625,-1,0,-1,48.9091,8,34.625,-1,0,-1,48.9091,8,34.625,-1,0,-1,48.9091,8,34.625,-1,0,-1,48.9091,8,34.625,-1,0,-1,48.9091,8,34.625,-1,0,-1,48.9091,8,34.625,-1,0,-1,48.9091,8,34.625,-1,0,-1,48.9091,8,34.625,-1,0,-1,48.9091,
9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,
10,31.8889,-1,0,-1,40.2727,9,35.3333,-1,0,-1,43.0909,10,31.8889,-1,0,-1,40.2727,10,33.3333,-1,0,-1,41.4545,10,31.8889,-1,0,-1,40.2727,9,35.3333,-1,0,-1,43.0909,10,31.8889,-1,0,-1,40.2727,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,10,31.8889,-1,0,-1,40.2727,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,10,31.8889,-1,0,-1,40.2727,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,9,35.3333,-1,0,-1,43.0909,10,31.8889,-1,0,-1,40.2727,
