CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,CounterExamples_10,Specificity_10,PRev_10,Pos_10,VarDist_10,RuleDist_10,CounterExamples_11,Specificity_11,PRev_11,Pos_11,VarDist_11,RuleDist_11,CounterExamples_12,Specificity_12,PRev_12,Pos_12,VarDist_12,RuleDist_12,CounterExamples_13,Specificity_13,PRev_13,Pos_13,VarDist_13,RuleDist_13,CounterExamples_14,Specificity_14,PRev_14,Pos_14,VarDist_14,RuleDist_14,CounterExamples_15,Specificity_15,PRev_15,Pos_15,VarDist_15,RuleDist_15,CounterExamples_16,Specificity_16,PRev_16,Pos_16,VarDist_16,RuleDist_16,CounterExamples_17,Specificity_17,PRev_17,Pos_17,VarDist_17,RuleDist_17,CounterExamples_18,Specificity_18,PRev_18,Pos_18,VarDist_18,RuleDist_18,CounterExamples_19,Specificity_19,PRev_19,Pos_19,VarDist_19,RuleDist_19,
0,0,0,0,-nan,-7.17465e-43,0,0,2.94273e-44,0,-1.62728e+38,1.02468e-31,0,0,2.8026e-44,0,-1.63021e+38,1.02468e-31,0,0,2.56794e+11,4.52653e+21,5.42668e-14,1.78417e+25,0,0,1.4569e-19,1.15841e+24,5.21342e+28,3.53047e-12,0,0,3.50325e-44,0,-1.63896e+38,1.02468e-31,0,0,2.94273e-44,0,-1.64188e+38,1.02468e-31,0,0,-1.64476e+38,1.02468e-31,3.64338e-44,0,0,0,2.56794e+11,4.52653e+21,5.42668e-14,2.29583e-18,0,0,3.78979e-39,2.29569e-18,5.21342e+28,2.86713e+32,0,0,7.14468e+31,4.95713e+28,5.1394e-14,7.14465e+31,0,0,1.09281e+24,5.21318e+28,1.34726e-08,59.7814,0,0,5.19937e+28,2.86713e+32,1.38945e-11,7.303e+22,0,0,-1.66233e+38,1.02468e-31,2.66247e-44,0,0,0,-1.66524e+38,1.02468e-31,3.22299e-44,0,0,0,2.8026e-44,0,-1.66816e+38,1.02468e-31,0,0,2.64507e+20,2.50775e+08,3.96137e-14,4.40073e-22,0,0,2.33104e-18,1.09281e+24,2.14722e+29,7.55557e+31,0,0,2.04752e+23,4.7425e+30,3.87097e+30,1.3356e-08,0,0,1.26566e-14,3638.96,1.38346e-11,7.31731e+28,
0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,
1,36,-1,1,-1,93.6364,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,0,-nan(ind),-1,0,-1,100,
2,27.5,-1,1,-1,86.1818,1,36,-1,1,-1,93.6364,1,36,-1,1,-1,93.6364,1,36,-1,1,-1,93.6364,1,36,-1,1,-1,93.6364,1,36,-1,1,-1,93.6364,1,36,-1,1,-1,93.6364,1,36,-1,1,-1,93.6364,1,36,-1,1,-1,93.6364,1,36,-1,1,-1,93.6364,1,36,-1,1,-1,93.6364,1,36,-1,1,-1,93.6364,1,36,-1,1,-1,93.6364,1,36,-1,1,-1,93.6364,1,36,-1,1,-1,93.6364,1,36,-1,1,-1,93.6364,1,36,-1,1,-1,93.6364,1,36,-1,1,-1,93.6364,1,36,-1,1,-1,93.6364,1,36,-1,1,-1,93.6364,
3,30.6667,-1,1,-1,79.9091,2,27.5,-1,1,-1,86.1818,2,27.5,-1,1,-1,86.1818,2,27.5,-1,1,-1,86.1818,2,27.5,-1,1,-1,86.1818,2,27.5,-1,1,-1,86.1818,2,27.5,-1,1,-1,86.1818,2,27.5,-1,1,-1,86.1818,2,27.5,-1,1,-1,86.1818,2,27.5,-1,1,-1,86.1818,2,27.5,-1,1,-1,86.1818,2,27.5,-1,1,-1,86.1818,2,27.5,-1,1,-1,86.1818,2,27.5,-1,1,-1,86.1818,2,27.5,-1,1,-1,86.1818,2,27.5,-1,1,-1,86.1818,2,27.5,-1,1,-1,86.1818,2,27.5,-1,1,-1,86.1818,2,27.5,-1,1,-1,86.1818,2,27.5,-1,1,-1,86.1818,
4,29.5,-1,1,-1,72.7273,3,30.6667,-1,1,-1,79.9091,3,30.6667,-1,1,-1,79.9091,3,30.6667,-1,1,-1,79.9091,3,30.6667,-1,1,-1,79.9091,3,30.6667,-1,1,-1,79.9091,3,30.6667,-1,1,-1,79.9091,3,30.6667,-1,1,-1,79.9091,3,30.6667,-1,1,-1,79.9091,3,30.6667,-1,1,-1,79.9091,3,30.6667,-1,1,-1,79.9091,3,30.6667,-1,1,-1,79.9091,3,30.6667,-1,1,-1,79.9091,3,30.6667,-1,1,-1,79.9091,3,30.6667,-1,1,-1,79.9091,3,30.6667,-1,1,-1,79.9091,3,30.6667,-1,1,-1,79.9091,3,30.6667,-1,1,-1,79.9091,3,30.6667,-1,1,-1,79.9091,3,30.6667,-1,1,-1,79.9091,
5,31.6,-1,1,-1,66.7273,4,29.5,-1,1,-1,72.7273,4,29.5,-1,1,-1,72.7273,4,29.5,-1,1,-1,72.7273,4,29.5,-1,1,-1,72.7273,4,29.5,-1,1,-1,72.7273,4,29.5,-1,1,-1,72.7273,4,29.5,-1,1,-1,72.7273,4,29.5,-1,1,-1,72.7273,4,29.5,-1,1,-1,72.7273,4,29.5,-1,1,-1,72.7273,4,29.5,-1,1,-1,72.7273,4,29.5,-1,1,-1,72.7273,4,29.5,-1,1,-1,72.7273,4,29.5,-1,1,-1,72.7273,4,29.5,-1,1,-1,72.7273,4,29.5,-1,1,-1,72.7273,4,29.5,-1,1,-1,72.7273,4,29.5,-1,1,-1,72.7273,4,29.5,-1,1,-1,72.7273,
6,33,-1,1,-1,60.7273,5,31.6,-1,1,-1,66.7273,5,31.6,-1,1,-1,66.7273,5,31.6,-1,1,-1,66.7273,5,31.6,-1,1,-1,66.7273,5,31.6,-1,1,-1,66.7273,5,31.6,-1,1,-1,66.7273,5,31.6,-1,1,-1,66.7273,5,31.6,-1,1,-1,66.7273,5,31.6,-1,1,-1,66.7273,5,31.6,-1,1,-1,66.7273,5,31.6,-1,1,-1,66.7273,5,31.6,-1,1,-1,66.7273,5,31.6,-1,1,-1,66.7273,5,31.6,-1,1,-1,66.7273,5,31.6,-1,1,-1,66.7273,5,31.6,-1,1,-1,66.7273,5,31.6,-1,1,-1,66.7273,5,31.6,-1,1,-1,66.7273,5,31.6,-1,1,-1,66.7273,
7,34.2857,-1,1,-1,54.9091,6,33,-1,1,-1,60.7273,6,33,-1,1,-1,60.7273,6,33,-1,1,-1,60.7273,6,33,-1,1,-1,60.7273,6,33,-1,1,-1,60.7273,6,33,-1,1,-1,60.7273,6,33,-1,1,-1,60.7273,6,33,-1,1,-1,60.7273,6,33,-1,1,-1,60.7273,6,33,-1,1,-1,60.7273,6,33,-1,1,-1,60.7273,6,33,-1,1,-1,60.7273,6,33,-1,1,-1,60.7273,6,33,-1,1,-1,60.7273,6,33,-1,1,-1,60.7273,6,33,-1,1,-1,60.7273,6,33,-1,1,-1,60.7273,6,33,-1,1,-1,60.7273,6,33,-1,1,-1,60.7273,
8,34.625,-1,1,-1,48.9091,7,34.2857,-1,1,-1,54.9091,7,34.2857,-1,1,-1,54.9091,7,34.2857,-1,1,-1,54.9091,7,34.2857,-1,1,-1,54.9091,7,34.2857,-1,1,-1,54.9091,7,34.2857,-1,1,-1,54.9091,7,34.2857,-1,1,-1,54.9091,7,34.2857,-1,1,-1,54.9091,7,34.2857,-1,1,-1,54.9091,7,34.2857,-1,1,-1,54.9091,7,34.2857,-1,1,-1,54.9091,7,34.2857,-1,1,-1,54.9091,7,34.2857,-1,1,-1,54.9091,7,34.2857,-1,1,-1,54.9091,7,34.2857,-1,1,-1,54.9091,7,34.2857,-1,1,-1,54.9091,7,34.2857,-1,1,-1,54.9091,7,34.2857,-1,1,-1,54.9091,7,34.2857,-1,1,-1,54.9091,
