CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,
1,137,-1,1,-1,95.7273,-1,
1,137,-1,0,-1,95.7273,-1,
1,137,-1,0,-1,95.7273,-1,
1,137,-1,0,-1,95.7273,-1,
1,137,-1,0,-1,95.7273,-1,
1,137,-1,0,-1,95.7273,-1,
2,137,-1,1,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
2,137,-1,0,-1,91.8182,-1,
3,70.5,-1,1,-1,86.9091,-1,
3,70.5,-1,0,-1,86.9091,-1,
3,70.5,-1,0,-1,86.9091,-1,
3,70.5,-1,0,-1,86.9091,-1,
3,70.5,-1,0,-1,86.9091,-1,
3,70.5,-1,0,-1,86.9091,-1,
3,70.5,0.938602,0,-1,86.9091,-1,
3,70.5,0.909393,0,0.982222,86.9091,1,
3,70.5,-1,0,-1,86.9091,-1,
3,70.5,-1,0,-1,86.9091,-1,
3,70.5,-1,0,-1,86.9091,-1,
3,70.5,-1,0,-1,86.9091,-1,
3,70.5,-1,0,-1,86.9091,-1,
3,70.5,-1,0,-1,86.9091,-1,
3,70.5,-1,0,-1,86.9091,-1,
4,8.5,-1,1,-1,82.4545,-1,
4,8.5,-1,0,-1,82.4545,-1,
5,8,-1,1,-1,82.3636,-1,
5,8,-1,0,-1,82.3636,-1,
5,8,-1,0,-1,82.3636,-1,
5,8,-1,0,-1,82.3636,-1,
5,8,-1,0,-1,82.3636,-1,
5,8,-1,0,-1,82.3636,-1,
5,8,-1,0,-1,82.3636,-1,
5,8,-1,0,-1,82.3636,-1,
5,8,-1,0,-1,82.3636,-1,
5,8,-1,0,-1,82.3636,-1,
5,8,-1,0,-1,82.3636,-1,
5,8,-1,0,-1,82.3636,-1,
5,8,-1,0,-1,82.3636,-1,
5,8,-1,0,-1,82.3636,-1,
5,8,-1,0,-1,82.3636,-1,
5,8,-1,0,-1,82.3636,-1,
5,8,0.323282,0,-1,82.3636,-1,
6,49.6667,0.771785,1,-1,82.3636,-1,
6,49.6667,-1,0,-1,82.3636,-1,
7,48,-1,1,-1,82.2727,-1,
7,48,-1,0,0.897778,82.2727,0.9,
8,69.25,-1,1,-1,82.2727,-1,
8,69.25,-1,0,-1,82.2727,-1,
8,69.25,-1,0,-1,82.2727,-1,
8,69.25,-1,0,-1,82.2727,-1,
8,69.25,0.59977,0,-1,82.2727,-1,
8,69.25,0.687542,0,-1,82.2727,-1,
9,51,0.97899,1,-1,82.2727,-1,
9,51,-1,0,-1,82.2727,-1,
9,51,-1,0,-1,82.2727,-1,
9,51,0.765553,0,-1,82.2727,-1,
9,51,0.795197,0,-1,82.2727,-1,
9,51,-1,0,-1,82.2727,-1,
9,51,-1,0,-1,82.2727,-1,
9,51,-1,0,-1,82.2727,-1,
9,51,-1,0,-1,82.2727,-1,
9,51,0.134841,0,-1,82.2727,-1,
10,32,0.929824,1,-1,82.2727,-1,
11,31.75,0.691283,1,-1,82.1818,-1,
11,31.75,-1,0,-1,82.1818,-1,
11,31.75,-1,0,-1,82.1818,-1,
11,31.75,-1,0,-1,82.1818,-1,
11,31.75,-1,0,-1,82.1818,-1,
11,31.75,-1,0,-1,82.1818,-1,
11,31.75,-1,0,-1,82.1818,-1,
11,31.75,-1,0,-1,82.1818,-1,
12,52,-1,1,-1,77.6364,-1,
12,52,-1,0,-1,77.6364,-1,
12,52,-1,0,-1,77.6364,-1,
12,52,-1,0,-1,77.6364,-1,
12,52,-1,0,0.896667,77.6364,0.9,
12,52,-1,0,-1,77.6364,-1,
12,52,-1,0,-1,77.6364,-1,
12,52,-1,0,-1,77.6364,-1,
12,52,-1,0,-1,77.6364,-1,
13,40.4,-1,1,-1,77.5455,-1,
13,40.4,-1,0,-1,77.5455,-1,
13,40.4,-1,0,-1,77.5455,-1,
13,40.4,0.992454,0,-1,77.5455,-1,
14,30.2,0.535043,1,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,0.280724,0,-1,77.4545,-1,
14,30.2,0.982855,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,0.985867,0,-1,77.4545,-1,
14,30.2,0.996416,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,0.114357,0,-1,77.4545,-1,
14,30.2,0.276302,0,-1,77.4545,-1,
14,30.2,0.987695,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,0.0463818,0,-1,77.4545,-1,
14,30.2,0.950698,0,-1,77.4545,-1,
14,30.2,0.999811,0,-1,77.4545,-1,
14,30.2,0.95,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,0.778889,77.4545,0.8,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,0.998915,0,-1,77.4545,-1,
14,30.2,0.0405285,0,-1,77.4545,-1,
14,30.2,0.997768,0,-1,77.4545,-1,
14,30.2,0.0396898,0,-1,77.4545,-1,
14,30.2,0.997762,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,0.0668193,0,-1,77.4545,-1,
14,30.2,0.978172,0,-1,77.4545,-1,
14,30.2,1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,1,0,-1,77.4545,-1,
14,30.2,0.0702953,0,-1,77.4545,-1,
14,30.2,0.390682,0,0.778889,77.4545,0.8,
14,30.2,0.99675,0,-1,77.4545,-1,
14,30.2,0.949252,0,-1,77.4545,-1,
14,30.2,0.99988,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
14,30.2,-1,0,-1,77.4545,-1,
