CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,1,166,-1,1,-1,96.3636,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,2,163.5,-1,1,-1,92.6364,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,2,163.5,-1,0,-1,92.6364,-1,1,173,-1,1,-1,97.0909,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,2,163.5,-1,0,-1,92.6364,-1,1,173,-1,0,-1,97.0909,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,3,105.5,-1,1,-1,90,-1,1,173,-1,0,-1,97.0909,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
1,137,-1,1,-1,96.0909,-1,3,105.5,-1,0,-1,90,-1,1,173,-1,0,-1,97.0909,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
1,137,-1,0,-1,96.0909,-1,3,105.5,0.61722,0,-1,90,-1,2,6,0.891398,1,-1,91.3636,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
2,13,-1,1,-1,92,-1,4,100.5,0.665764,1,-1,89.2727,-1,2,6,-1,0,-1,91.3636,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
2,13,-1,0,-1,92,-1,4,100.5,-1,0,-1,89.2727,-1,2,6,-1,0,-1,91.3636,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
3,75,-1,1,-1,87.7273,-1,4,100.5,-1,0,-1,89.2727,-1,2,6,-1,0,-1,91.3636,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
4,95.6667,-1,1,-1,87.7273,-1,4,100.5,-1,0,-1,89.2727,-1,2,6,-1,0,-1,91.3636,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
5,58.3333,-1,1,-1,84.4545,-1,5,99.5,-1,1,-1,89.1818,-1,3,5,0.812709,1,-1,91.2727,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
5,58.3333,-1,0,-1,84.4545,-1,5,99.5,-1,0,-1,89.1818,-1,3,5,-1,0,-1,91.2727,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
5,58.3333,-1,0,-1,84.4545,-1,5,99.5,-1,0,-1,89.1818,-1,3,5,-1,0,-1,91.2727,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
6,18,0.994726,1,-1,84.1818,-1,6,120,-1,1,-1,85.3636,-1,3,5,-1,0,-1,91.2727,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
7,12,0.90685,1,-1,83.6364,-1,6,120,-1,0,-1,85.3636,-1,3,5,-1,0,-1,91.2727,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
7,12,-1,0,-1,83.6364,-1,6,120,-1,0,-1,85.3636,-1,3,5,-1,0,-1,91.2727,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
8,6.33333,-1,1,-1,82.3636,-1,6,120,-1,0,-1,85.3636,-1,3,5,-1,0,-1,91.2727,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
8,6.33333,-1,0,-1,82.3636,-1,6,120,0.822894,0,-1,85.3636,-1,3,5,-1,0,-1,91.2727,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
8,6.33333,-1,0,-1,82.3636,-1,6,120,-1,0,-1,85.3636,-1,3,5,-1,0,-1,91.2727,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
8,6.33333,-1,0,0.901111,82.3636,0.9,6,120,-1,0,1,85.3636,1,4,4,0.897348,1,0.924444,91.1818,1,0,-nan(ind),-1,0,1,100,1,0,-nan(ind),-1,0,1,100,1,
8,6.33333,-1,0,-1,82.3636,-1,6,120,-1,0,-1,85.3636,-1,4,4,-1,0,-1,91.1818,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
8,6.33333,-1,0,-1,82.3636,-1,6,120,-1,0,-1,85.3636,-1,4,4,0.268214,0,-1,91.1818,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
8,6.33333,0.608436,0,-1,82.3636,-1,6,120,-1,0,-1,85.3636,-1,5,88.5,-1,1,-1,87.9091,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
8,6.33333,0.970685,0,-1,82.3636,-1,7,116.667,-1,1,-1,85.0909,-1,5,88.5,-1,0,-1,87.9091,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
8,6.33333,-1,0,-1,82.3636,-1,7,116.667,-1,0,-1,85.0909,-1,6,25.5,0.932686,1,-1,85,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
8,6.33333,-1,0,-1,82.3636,-1,7,116.667,-1,0,-1,85.0909,-1,6,25.5,-1,0,-1,85,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
8,6.33333,-1,0,-1,82.3636,-1,7,116.667,-1,0,-1,85.0909,-1,6,25.5,0.230941,0,-1,85,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
8,6.33333,0.97756,0,-1,82.3636,-1,7,116.667,-1,0,-1,85.0909,-1,6,25.5,0.209222,0,-1,85,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
8,6.33333,0.989941,0,-1,82.3636,-1,7,116.667,0.287248,0,-1,85.0909,-1,7,15,0.613007,1,-1,83.4545,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
8,6.33333,-1,0,-1,82.3636,-1,7,116.667,0.296145,0,-1,85.0909,-1,7,15,0.692253,0,-1,83.4545,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
8,6.33333,-1,0,-1,82.3636,-1,7,116.667,-1,0,-1,85.0909,-1,7,15,-1,0,-1,83.4545,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
8,6.33333,-1,0,-1,82.3636,-1,7,116.667,-1,0,-1,85.0909,-1,7,15,-1,0,-1,83.4545,-1,0,-nan(ind),-1,0,-1,100,-1,1,134,-1,1,-1,95.4545,-1,
8,6.33333,-1,0,-1,82.3636,-1,7,116.667,-1,0,-1,85.0909,-1,7,15,0.150754,0,-1,83.4545,-1,0,-nan(ind),-1,0,-1,100,-1,1,134,-1,0,-1,95.4545,-1,
8,6.33333,1,0,-1,82.3636,-1,7,116.667,-1,0,-1,85.0909,-1,7,15,0.372289,0,-1,83.4545,-1,0,-nan(ind),-1,0,-1,100,-1,2,50,-1,1,-1,93.6364,-1,
8,6.33333,-1,0,-1,82.3636,-1,7,116.667,-1,0,-1,85.0909,-1,8,9.5,-1,1,-1,83,-1,0,-nan(ind),-1,0,-1,100,-1,2,50,-1,0,-1,93.6364,-1,
9,39,-1,1,-1,82.3636,-1,7,116.667,-1,0,-1,85.0909,-1,8,9.5,-1,0,-1,83,-1,0,-nan(ind),-1,0,-1,100,-1,2,50,-1,0,-1,93.6364,-1,
9,39,-1,0,-1,82.3636,-1,7,116.667,-1,0,-1,85.0909,-1,8,9.5,-1,0,-1,83,-1,0,-nan(ind),-1,0,-1,100,-1,2,50,-1,0,-1,93.6364,-1,
9,39,-1,0,-1,82.3636,-1,7,116.667,-1,0,-1,85.0909,-1,8,9.5,0.123414,0,-1,83,-1,0,-nan(ind),-1,0,-1,100,-1,2,50,-1,0,-1,93.6364,-1,
