CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,PlanDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,PlanDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,PlanDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,PlanDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,PlanDist_9,CounterExamples_10,Specificity_10,PRev_10,Pos_10,VarDist_10,RuleDist_10,PlanDist_10,CounterExamples_11,Specificity_11,PRev_11,Pos_11,VarDist_11,RuleDist_11,PlanDist_11,CounterExamples_12,Specificity_12,PRev_12,Pos_12,VarDist_12,RuleDist_12,PlanDist_12,CounterExamples_13,Specificity_13,PRev_13,Pos_13,VarDist_13,RuleDist_13,PlanDist_13,CounterExamples_14,Specificity_14,PRev_14,Pos_14,VarDist_14,RuleDist_14,PlanDist_14,CounterExamples_15,Specificity_15,PRev_15,Pos_15,VarDist_15,RuleDist_15,PlanDist_15,CounterExamples_16,Specificity_16,PRev_16,Pos_16,VarDist_16,RuleDist_16,PlanDist_16,CounterExamples_17,Specificity_17,PRev_17,Pos_17,VarDist_17,RuleDist_17,PlanDist_17,CounterExamples_18,Specificity_18,PRev_18,Pos_18,VarDist_18,RuleDist_18,PlanDist_18,CounterExamples_19,Specificity_19,PRev_19,Pos_19,VarDist_19,RuleDist_19,PlanDist_19,CounterExamples_20,Specificity_20,PRev_20,Pos_20,VarDist_20,RuleDist_20,PlanDist_20,CounterExamples_21,Specificity_21,PRev_21,Pos_21,VarDist_21,RuleDist_21,PlanDist_21,CounterExamples_22,Specificity_22,PRev_22,Pos_22,VarDist_22,RuleDist_22,PlanDist_22,CounterExamples_23,Specificity_23,PRev_23,Pos_23,VarDist_23,RuleDist_23,PlanDist_23,CounterExamples_24,Specificity_24,PRev_24,Pos_24,VarDist_24,RuleDist_24,PlanDist_24,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,1,170,-1,0,-1,96.6364,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,171,-1,0,-1,97,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
1,137,-1,0,-1,95.7273,-1,2,52,-1,0,-1,94.1818,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,154,-1,0,-1,100,-1,1,171,-1,0,-1,97,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,158,-1,0,-1,96.2727,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,173,-1,0,-1,96.7273,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
2,137,-1,0,-1,95.7273,-1,2,52,-1,0,-1,94.1818,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,154,-1,0,-1,100,-1,1,171,-1,0,-1,97,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,2,35,-1,0,-1,93,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,173,-1,0,-1,96.7273,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
2,137,-1,0,-1,95.7273,-1,2,52,-1,0,-1,94.1818,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,154,-1,0,-1,100,-1,1,171,-1,0,-1,97,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,2,35,-1,0,-1,93,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,173,-1,0,-1,96.7273,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,146,-1,0,-1,96.1818,-1,0,-nan(ind),-1,0,-1,100,-1,
3,77.5,-1,0,-1,91.3636,-1,2,52,-1,0,-1,94.1818,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,107,-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,154,-1,0,-1,100,-1,1,171,-1,0,-1,97,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,2,35,-1,0,-1,93,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,2,170,-1,0,-1,93.6364,-1,1,144,-1,0,-1,95.9091,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,146,-1,0,-1,96.1818,-1,0,-nan(ind),-1,0,-1,100,-1,
4,31,-1,0,-1,91.1818,-1,2,52,-1,0,-1,94.1818,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,134,-1,0,-1,95.4545,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,107,-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,154,-1,0,-1,100,-1,2,58,-1,0,-1,94.7273,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,2,35,-1,0,-1,93,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,2,170,-1,0,-1,93.6364,-1,1,144,-1,0,-1,95.9091,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,0,-nan(ind),-1,0,-1,100,-1,
5,13.5,-1,0,-1,91.1818,-1,2,52,-1,0,-1,94.1818,-1,1,173,-1,0,-1,97.0909,-1,0,-nan(ind),-1,0,-1,100,-1,2,24,-1,0,-1,92.1818,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,107,-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,154,-1,0,-1,100,-1,2,58,-1,0,-1,94.7273,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,2,35,-1,0,-1,93,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,3,89,-1,0,-1,88,-1,1,144,-1,0,-1,95.9091,-1,0,-nan(ind),-1,0,-1,100,-1,1,157,-1,0,-1,96,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,0,-1,91.3636,-1,0,-nan(ind),-1,0,-1,100,-1,
