CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,1,166,-1,1,-1,96.8182,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,1,166,-1,0,-1,96.8182,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,1,166,-1,0,-1,96.8182,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,1,166,-1,0,-1,96.8182,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,1,166,-1,0,-1,96.8182,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,1,166,-1,0,-1,96.8182,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,1,166,-1,0,-1,96.8182,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,1,166,-1,0,-1,96.8182,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,1,166,-1,0,-1,96.8182,-1,0,-nan(ind),-1,0,-1,100,-1,
1,137,-1,1,-1,95.7273,-1,1,166,-1,0,-1,96.8182,-1,0,-nan(ind),-1,0,-1,100,-1,
1,137,-1,0,-1,95.7273,-1,1,166,-1,0,-1,96.8182,-1,0,-nan(ind),-1,0,-1,100,-1,
1,137,-1,0,-1,95.7273,-1,1,166,-1,0,-1,96.8182,-1,0,-nan(ind),-1,0,-1,100,-1,
1,137,-1,0,-1,95.7273,-1,1,166,-1,0,-1,96.8182,-1,0,-nan(ind),-1,0,-1,100,-1,
2,11,-1,1,-1,91.4545,-1,1,166,-1,0,-1,96.8182,-1,0,-nan(ind),-1,0,-1,100,-1,
2,11,-1,0,-1,91.4545,-1,1,166,-1,0,-1,96.8182,-1,0,-nan(ind),-1,0,-1,100,-1,
